numero,alcaldia,nombre mercado,numero oficial,numero de locales,latitud,longitud,coord
271.0,TLALPAN,SAN NICOLAS TOTOLAPAN,350,32.0,19.291910915300001,-99.236400999899999,"19.2919109153,-99.2364009999"
264.0,TLALPAN,JOSE MARIA MORELOS Y PAVON,391,56.0,19.297794915200001,-99.118433999900006,"19.2977949152,-99.1184339999"
269.0,TLALPAN,PLAZA MEXICANA DEL SUR,392,79.0,19.300551915300002,-99.146041999999994,"19.3005519153,-99.146042"
262.0,TLALPAN,HUESO PERIFERICO,393,102.0,19.299541915199999,-99.102877999900002,"19.2995419152,-99.1028779999"
204.0,IZTAPALAPA,VEINTICUATRO DE FEBRERO,316,124.0,19.274642915299999,-99.225477999899994,"19.2746429153,-99.2254779999"
259.0,TLALPAN,DR. Y GRAL JOSE GONZALEZ VARELA,256,58.0,19.265317915400001,-99.169324999899999,"19.2653179154,-99.1693249999"
272.0,TLALPAN,TLALCOLIGIA,406,70.0,19.275083915400000,-99.171772000000004,"19.2750839154,-99.171772"
275.0,TLALPAN,VEINTIUNO DE ABRIL,1012,65.0,19.271218915300000,-99.223860999899998,"19.2712189153,-99.2238609999"
320.0,XOCHIMILCO,AMPLIACION SAN MARCOS,379,91.0,19.268997915400000,-99.113453000000007,"19.2689979154,-99.113453"
322.0,XOCHIMILCO,GUADALUPE I. RAMIREZ,380,25.0,19.264089915400000,-99.105376999900002,"19.2640899154,-99.1053769999"
43.0,BENITO JUAREZ,PORTALES ZONA,30,599.0,19.371725914999999,-99.143515999900004,"19.371725915,-99.1435159999"
46.0,BENITO JUAREZ,PRIMERO DE DICIEMBRE,49,244.0,19.399193915000001,-99.154620999900004,"19.399193915,-99.1546209999"
41.0,BENITO JUAREZ,MIXCOAC,76,476.0,19.372910914999999,-99.188579999900000,"19.372910915,-99.1885799999"
47.0,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,97,192.0,19.391846914900000,-99.183518999900002,"19.3918469149,-99.1835189999"
37.0,BENITO JUAREZ,INDEPENDENCIA,113,226.0,19.380096914999999,-99.150259000000005,"19.380096915,-99.150259"
49.0,BENITO JUAREZ,SANTA MARIA NATIVITAS,119,97.0,19.388124914999999,-99.147308999900005,"19.388124915,-99.1473089999"
42.0,BENITO JUAREZ,PORTALES ANEXO,201,125.0,19.372744914999998,-99.144119000000003,"19.372744915,-99.144119"
93.0,CUAUHTEMOC,LAGUNILLA ROPA Y TELAS,1,1043.0,19.443167914800000,-99.136322999900003,"19.4431679148,-99.1363229999"
95.0,CUAUHTEMOC,LAGUNILLA VARIOS,3,344.0,19.441847914800000,-99.136610000000005,"19.4418479148,-99.13661"
97.0,CUAUHTEMOC,MARTINEZ DE LA TORRE (ANEXO),5,339.0,19.445469914800000,-99.145388999900007,"19.4454699148,-99.1453889999"
85.0,CUAUHTEMOC,DOS DE ABRIL,10,128.0,19.438417914799999,-99.141614999900000,"19.4384179148,-99.1416149999"
89.0,CUAUHTEMOC,INSURGENTES,13,225.0,19.424334914900001,-99.165483999900005,"19.4243349149,-99.1654839999"
114.0,CUAUHTEMOC,TEPITO FIERROS VIEJOS,23,661.0,19.447206914700001,-99.128476999900002,"19.4472069147,-99.1284769999"
111.0,CUAUHTEMOC,SAN JUAN CURIOSIDADES,86,176.0,19.430174914900000,-99.143084999899997,"19.4301749149,-99.1430849999"
87.0,CUAUHTEMOC,HIDALGO ANEXO,191,428.0,19.414702914900001,-99.145740999899999,"19.4147029149,-99.1457409999"
90.0,CUAUHTEMOC,ISABEL LA CATOLICA,96,165.0,19.407010914899999,-99.139323999900000,"19.4070109149,-99.1393239999"
108.0,CUAUHTEMOC,SAN JOAQUIN (ANEXO),110,275.0,19.461976914800001,-99.139066999899995,"19.4619769148,-99.1390669999"
86.0,CUAUHTEMOC,FRANCISCO SARABIA,114,119.0,19.457961914799998,-99.137311999900007,"19.4579619148,-99.1373119999"
105.0,CUAUHTEMOC,PAULINO  NAVARRO,216,110.0,19.412478914899999,-99.128366999899995,"19.4124789149,-99.1283669999"
216.0,MIGUEL HIDALGO,GRANADA,55,148.0,19.441819914800000,-99.192375999899994,"19.4418199148,-99.1923759999"
214.0,MIGUEL HIDALGO,DIECIOCHO DE MARZO,85,335.0,19.447242914800000,-99.194526999900006,"19.4472429148,-99.1945269999"
228.0,MIGUEL HIDALGO,ZACATITO,94,182.0,19.457970914800001,-99.207749999900003,"19.4579709148,-99.2077499999"
213.0,MIGUEL HIDALGO,ARGENTINA,95,964.0,19.452593914700000,-99.201932999899995,"19.4525939147,-99.2019329999"
215.0,MIGUEL HIDALGO,ESCANDON,99,249.0,19.402664914999999,-99.177414999899995,"19.402664915,-99.1774149999"
225.0,MIGUEL HIDALGO,SAN ISIDRO ZONA,232,51.0,19.429846914799999,-99.220767999800003,"19.4298469148,-99.2207679998"
316.0,VENUSTIANO CARRANZA,UNIDAD RASTRO,25,717.0,19.451033914800000,-99.110594999900002,"19.4510339148,-99.1105949999"
310.0,VENUSTIANO CARRANZA,PUEBLA,85,281.0,19.410296914900002,-99.082983999999996,"19.4102969149,-99.082984"
307.0,VENUSTIANO CARRANZA,PENSADOR MEXICANO,150,156.0,19.443950914799998,-99.086974999899994,"19.4439509148,-99.0869749999"
304.0,VENUSTIANO CARRANZA,MORELOS,165,912.0,19.439833914800001,-99.114755000000002,"19.4398339148,-99.114755"
285.0,VENUSTIANO CARRANZA,FEDERAL,183,103.0,19.420403914800001,-99.089383999899994,"19.4204039148,-99.0893839999"
309.0,VENUSTIANO CARRANZA,PLAN DE AYALA CARACOL,214,96.0,19.428067914800000,-99.069552000000002,"19.4280679148,-99.069552"
315.0,VENUSTIANO CARRANZA,UNIDAD KENNEDY,240,182.0,19.424667914899999,-99.108628999900006,"19.4246679149,-99.1086289999"
312.0,VENUSTIANO CARRANZA,SANTA JUANITA,278,107.0,19.444786914800002,-99.108046999899997,"19.4447869148,-99.1080469999"
292.0,VENUSTIANO CARRANZA,LUIS PRECIADO DE LA TORRE,904,132.0,19.428375914800000,-99.106112999900006,"19.4283759148,-99.1061129999"
