Alcaldía,Polígono ,Colonia ,Año,Mes,Ingreso por Estacionamiento en Vía Pública ,Contraprestación 30%                                (F)             ,Ingreso por Retiro de Candado Inmovilizador,70% Inmovilizador           (H),Pago al GCDMX       (F-H)
Miguel Hidalgo,Polanco -Anzures,Los Morales,2020,Julio,522748.0,156824.4,33915.9,23741.13,133083.27
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2020,Julio,529550.0,158865.0,30809.1,21566.37,137298.63
Miguel Hidalgo,lomas Chapultepec,Lomas de Chapultepec,2020,Julio,1764612.0,529383.6,91132.8,63792.96,465590.64
Miguel Hidalgo,lomas Chapultepec,Lomas Virreyes,2020,Julio,456826.0,137047.8,29255.7,20478.99,116568.81
Cuauhtémoc,Roma - Hipódromo,Roma I,2020,Julio,2216458.0,664937.4,183819.0,128673.3,536264.1
Cuauhtémoc,Roma - Hipódromo,Roma II,2020,Julio,2022864.0,606859.2,168802.8,118161.96,488697.24
Cuauhtémoc,Roma - Hipódromo,Hipódromo II,2020,Julio,1324135.0,397240.5,105631.2,73941.84,323298.66
Benito Juárez,Benito Juárez Norte,Ciudad de los Deportes,2020,Julio,441073.0,132321.9,63171.6,44220.12,88101.78
Miguel Hidalgo,Polanco -Anzures,Palmitas,2020,Agosto,287319.0,86195.7,15792.9,11055.03,75140.67
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2020,Agosto,124861.0,37458.3,4919.1,3443.37,34014.93
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2020,Agosto,547589.0,164276.7,34951.5,24466.05,139810.65
Miguel Hidalgo,Polanco -Anzures,Anzures,2020,Agosto,1087802.0,326340.6,58511.4,40957.98,285382.62
Miguel Hidalgo,lomas Chapultepec,Lomas de Chapultepec,2020,Agosto,2012895.0,603868.5,87767.1,61436.97,542431.53
Benito Juárez,Benito Juárez Sur,Crédito Constructor,2020,Agosto,168041.25,50412.375,16051.8,11236.26,39176.115
Benito Juárez,Benito Juárez Norte,Ampliación Napoles,2020,Agosto,536217.0,160865.1,65242.8,45669.96,115195.14
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2020,Septiembre,,,,,
Miguel Hidalgo,Polanco -Anzures,Anzures,2020,Septiembre,,,,,
Cuauhtémoc,Roma - Hipódromo,Hipódromo I,2020,Septiembre,,,,,
Cuauhtémoc,Roma - Hipódromo,Hipódromo II,2020,Septiembre,,,,,
Benito Juárez,Benito Juárez Sur,Crédito Constructor,2020,Septiembre,,,,,
Benito Juárez,Benito Juárez Norte,Ciudad de los Deportes,2020,Septiembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2020,Octubre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Los Morales,2020,Octubre,,0.0,,0.0,0.0
Cuauhtémoc,Roma - Hipódromo,Roma I,2020,Octubre,,0.0,,0.0,0.0
