Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
02/05/1989,TEC,PbPST,1.66,2
02/05/1989,CFE,PbPST,1.06,2
08/05/1989,CES,PbPST,1.11,2
08/05/1989,MER,PbPST,0.98,2
08/05/1989,PED,PbPST,0.74,2
08/05/1989,TLA,PbPST,1.2,2
08/05/1989,XAL,PbPST,3.43,2
08/05/1989,MCM,PbPST,0.83,2
08/05/1989,FAN,PbPST,0.91,2
08/05/1989,TEC,PbPST,1.37,2
08/05/1989,CFE,PbPST,0.88,2
14/05/1989,CES,PbPST,0.79,2
14/05/1989,MER,PbPST,0.99,2
14/05/1989,PED,PbPST,0.5,2
14/05/1989,TLA,PbPST,0.79,2
14/05/1989,XAL,PbPST,2.06,2
14/05/1989,MCM,PbPST,0.9,2
14/05/1989,FAN,PbPST,0.75,2
14/05/1989,TEC,PbPST,1.39,2
14/05/1989,CFE,PbPST,0.63,2
20/05/1989,CES,PbPST,1.14,2
20/05/1989,MER,PbPST,0.98,2
20/05/1989,PED,PbPST,0.54,2
20/05/1989,TLA,PbPST,0.62,2
20/05/1989,XAL,PbPST,1.79,2
20/05/1989,MCM,PbPST,1.04,2
20/05/1989,FAN,PbPST,0.72,2
20/05/1989,TEC,PbPST,0.89,2
20/05/1989,CFE,PbPST,0.71,2
01/06/1989,CES,PbPST,1.29,2
01/06/1989,MER,PbPST,1.33,2
01/06/1989,PED,PbPST,0.96,2
01/06/1989,TLA,PbPST,1.1,2
01/06/1989,XAL,PbPST,3.32,2
01/06/1989,MCM,PbPST,1.15,2
01/06/1989,FAN,PbPST,0.84,2
01/06/1989,TEC,PbPST,1.14,2
01/06/1989,CFE,PbPST,0.54,2
07/06/1989,CES,PbPST,1.08,2
07/06/1989,MER,PbPST,1.04,2
07/06/1989,PED,PbPST,0.91,2
07/06/1989,TLA,PbPST,1.39,2
07/06/1989,XAL,PbPST,2.06,2
07/06/1989,MCM,PbPST,0.88,2
07/06/1989,FAN,PbPST,0.94,2
07/06/1989,TEC,PbPST,0.84,2
07/06/1989,CFE,PbPST,0.65,2
13/06/1989,CES,PbPST,0.78,2
13/06/1989,MER,PbPST,0.99,2
13/06/1989,PED,PbPST,0.77,2
13/06/1989,TLA,PbPST,0.86,2
