NIVEL,NOMBRE,TURNO,DOMICILIO,COLONIA,ALCALDÍA,SOSTENIMIENTO,ubicacion,lat,lon,coordenadas
Primaria,INSTITUTO I. D. E. A.,MATUTINO,ANTONIO SOLA NUM 65,CONDESA,CUAUHTEMOC,Particular,"ANTONIO SOLA NUM 65, CONDESA, CUAUHTEMOC",19.415868,-99.1751428,"19.415868,-99.1751428"
Primaria,CENTENARIO CONSTITUCION 57,MATUTINO,MARTHA NO 89,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,Particular,"MARTHA NO 89, GUADALUPE TEPEYAC, GUSTAVO A. MADERO",19.466115,-99.1196569,"19.466115,-99.1196569"
Primaria,MARGARITA MAZA DE JUÁREZ,MATUTINO,PLAZA DE LOS FAROLES NUM 36,JARDINES DEL SUR FRACCIONAMIENTO,XOCHIMILCO,Particular,"PLAZA DE LOS FAROLES NUM 36, JARDINES DEL SUR FRACCIONAMIENTO, XOCHIMILCO",19.256548,-99.11905,"19.256548,-99.11905"
Primaria,VERMONT,MATUTINO,VEREDA 90,JARDINES DEL PEDREGAL,ALVARO OBREGON,Particular,"VEREDA 90, JARDINES DEL PEDREGAL, ALVARO OBREGON",19.309931,-99.2063688,"19.309931,-99.2063688"
Primaria,INSTITUTO GANTE,MATUTINO,HOMERO 720,POLANCO REFORMA,MIGUEL HIDALGO,Particular,"HOMERO 720, POLANCO REFORMA, MIGUEL HIDALGO",19.4355727,-99.193371,"19.4355727,-99.193371"
Primaria,"""PRIMARIA TULYEHUALCO""",MATUTINO,FRANCISCO VILLA NO. 20,LOS REYES,TLAHUAC,Particular,"FRANCISCO VILLA NO. 20, LOS REYES, TLAHUAC",19.2429966,-98.9977977,"19.2429966,-98.9977977"
Primaria,INSTITUTO JUANA DE ARCO,MATUTINO,AVENIDA BENITO JUÁREZ NO. 28,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,Particular,"AVENIDA BENITO JUÁREZ NO. 28, SANTA CRUZ MEYEHUALCO, IZTAPALAPA",19.3404941,-99.0401184,"19.3404941,-99.0401184"
Primaria,ALEJANDRO GUILLOT,MATUTINO,CANAL DE MIRAMONTES NO 3160,RESIDENCIAL EX-HACIENDA COAPA,TLALPAN,Particular,"CANAL DE MIRAMONTES NO 3160, RESIDENCIAL EX-HACIENDA COAPA, TLALPAN",19.3005533,-99.1247239,"19.3005533,-99.1247239"
Primaria,MAESTRO CARLOS CHAVEZ,MATUTINO,PROLG DIVISION DEL NORTE NUM. 5466,SAN MARCOS,XOCHIMILCO,Particular,"PROLG DIVISION DEL NORTE NUM. 5466, SAN MARCOS, XOCHIMILCO",19.2619816,-99.112797,"19.2619816,-99.112797"
Primaria,PRIMARIA ECA,MATUTINO,CALLE B No. 20 MANZANA XI,EDUCACION,COYOACAN,Particular,"CALLE B No. 20 MANZANA XI, EDUCACION, COYOACAN",19.3383873,-99.1341132,"19.3383873,-99.1341132"
